trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames,responsetime,responsekey,responsecorrect
1,1.75833333333333,211,1.825,219,1,1,89,14,young,2,male,1,right,2,fear,1,y_m_f,young_male_fear,089_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,089_y_m_n_a.jpg,4,0.0416666666666667,5,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
2,1.675,201,3.65833333333333,439,1,1,99,15,young,2,male,1,right,2,happy,2,y_m_h,young_male_happy,099_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,099_y_m_n_a.jpg,5,0.05,6,1,0.025,3,1.5,180,NaN,NaN,NaN
3,2.36666666666667,284,5.775,693,1,1,51,7,middle,1,male,1,left,1,fear,1,m_m_f,middle_male_fear,051_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,051_m_m_n_a.jpg,7,0.1,12,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
4,2.00833333333333,241,7.9,948,1,1,66,11,young,2,male,1,right,2,happy,2,y_m_h,young_male_happy,066_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,066_y_m_n_a.jpg,1,0.0166666666666667,2,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
5,2.05833333333333,247,9.85,1182,1,1,122,20,middle,1,female,2,right,2,happy,2,m_f_h,middle_female_happy,122_m_f_h_a.jpg,0.1,12,m_f_n,middle_female_neutral,122_m_f_n_a.jpg,10,0.25,30,3,0.208333333333333,25,1.5,180,NaN,NaN,NaN
6,1.75,210,11.55,1386,1,1,82,13,middle,1,male,1,right,2,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,0.0333333333333333,4,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
7,2.06666666666667,248,13.9166666666667,1670,1,1,105,16,young,2,male,1,right,2,fear,1,y_m_f,young_male_fear,105_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,105_y_m_n_a.jpg,6,0.075,9,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
8,2.13333333333333,256,16.3333333333333,1960,1,1,35,5,middle,1,female,2,left,1,fear,1,m_f_f,middle_female_fear,035_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,5,0.05,6,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
9,2.025,243,18.6166666666667,2234,1,1,82,13,middle,1,male,1,left,1,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,0.0333333333333333,4,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
10,2.23333333333333,268,20.8583333333333,2503,1,1,52,8,middle,1,female,2,left,1,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,8,0.15,18,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
11,2.34166666666667,281,23.05,2766,1,1,45,6,middle,1,male,1,right,2,happy,2,m_m_h,middle_male_happy,045_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,6,0.075,9,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
12,1.75833333333333,211,25.25,3030,1,1,29,4,middle,1,female,2,left,1,fear,1,m_f_f,middle_female_fear,029_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,4,0.0416666666666667,5,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
13,2.24166666666667,269,27,3240,1,1,68,10,middle,1,male,1,left,1,fear,1,m_m_f,middle_male_fear,068_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,068_m_m_n_a.jpg,10,0.25,30,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
14,2.05,246,29.3083333333333,3517,1,1,114,18,young,2,male,1,left,1,happy,2,y_m_h,young_male_happy,114_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,114_y_m_n_a.jpg,8,0.15,18,4,0.3,36,1.5,180,NaN,NaN,NaN
15,2.23333333333333,268,31.2583333333333,3751,1,1,52,8,middle,1,female,2,right,2,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,8,0.15,18,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
16,1.91666666666667,230,33.325,3999,1,1,57,9,young,2,male,1,left,1,fear,1,y_m_f,young_male_fear,057_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,057_y_m_n_a.jpg,9,0.2,24,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
17,1.96666666666667,236,35.1416666666667,4217,1,1,123,20,young,2,male,1,left,1,happy,2,y_m_h,young_male_happy,123_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,123_y_m_n_a.jpg,10,0.25,30,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
18,2.41666666666667,290,37.5583333333333,4507,1,1,114,18,young,2,male,1,right,2,fear,1,y_m_f,young_male_fear,114_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,114_y_m_n_a.jpg,8,0.15,18,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
19,2.41666666666667,290,39.5666666666667,4748,1,1,49,8,young,2,male,1,left,1,fear,1,y_m_f,young_male_fear,049_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,049_y_m_n_a.jpg,8,0.15,18,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
20,1.84166666666667,221,41.5333333333333,4984,1,1,16,3,young,2,male,1,right,2,fear,1,y_m_f,young_male_fear,016_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,016_y_m_n_a.jpg,3,0.0333333333333333,4,3,0.208333333333333,25,1.5,180,NaN,NaN,NaN
21,2.125,255,43.725,5247,1,1,87,14,middle,1,male,1,left,1,happy,2,m_m_h,middle_male_happy,087_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,087_m_m_n_a.jpg,4,0.0416666666666667,5,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
22,2,240,45.8333333333333,5500,1,1,109,17,young,2,male,1,left,1,fear,1,y_m_f,young_male_fear,109_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,109_y_m_n_a.jpg,7,0.1,12,4,0.3,36,1.5,180,NaN,NaN,NaN
23,2.09166666666667,251,48.0416666666667,5765,1,1,48,7,young,2,female,2,left,1,happy,2,y_f_h,young_female_happy,048_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,048_y_f_n_a.jpg,7,0.1,12,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
24,1.93333333333333,232,50.35,6042,1,1,90,13,young,2,female,2,right,2,happy,2,y_f_h,young_female_happy,090_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,090_y_f_n_a.jpg,3,0.0333333333333333,4,4,0.3,36,1.5,180,NaN,NaN,NaN
25,2.15833333333333,259,52.575,6309,1,1,43,6,middle,1,female,2,left,1,fear,1,m_f_f,middle_female_fear,043_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,043_m_f_n_a.jpg,6,0.075,9,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
26,2.29166666666667,275,54.275,6513,1,1,80,12,middle,1,female,2,left,1,fear,1,m_f_f,middle_female_fear,080_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,080_m_f_n_a.jpg,2,0.025,3,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
27,2.28333333333333,274,56.3666666666667,6764,1,1,8,1,young,2,male,1,left,1,happy,2,y_m_h,young_male_happy,008_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,008_y_m_n_a.jpg,1,0.0166666666666667,2,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
28,2.28333333333333,274,58.2333333333333,6988,1,1,119,19,young,2,male,1,right,2,happy,2,y_m_h,young_male_happy,119_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,119_y_m_n_a.jpg,9,0.2,24,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
29,1.66666666666667,200,60.2416666666667,7229,1,1,93,14,middle,1,female,2,right,2,happy,2,m_f_h,middle_female_happy,093_m_f_h_a.jpg,0.1,12,m_f_n,middle_female_neutral,093_m_f_n_a.jpg,4,0.0416666666666667,5,1,0.025,3,1.5,180,NaN,NaN,NaN
30,1.875,225,62.575,7509,1,1,64,10,middle,1,female,2,right,2,fear,1,m_f_f,middle_female_fear,064_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,064_m_f_n_a.jpg,10,0.25,30,1,0.025,3,1.5,180,NaN,NaN,NaN
31,2.15,258,64.2166666666667,7706,1,1,69,10,young,2,female,2,right,2,happy,2,y_f_h,young_female_happy,069_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,069_y_f_n_a.jpg,10,0.25,30,4,0.3,36,1.5,180,NaN,NaN,NaN
32,1.86666666666667,224,65.8666666666667,7904,1,1,56,8,middle,1,male,1,right,2,fear,1,m_m_f,middle_male_fear,056_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,056_m_m_n_a.jpg,8,0.15,18,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
33,2.03333333333333,244,68.075,8169,1,1,32,4,middle,1,male,1,left,1,happy,2,m_m_h,middle_male_happy,032_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,4,0.0416666666666667,5,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
34,2.04166666666667,245,70.0166666666667,8402,1,1,38,5,middle,1,male,1,left,1,happy,2,m_m_h,middle_male_happy,038_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,5,0.05,6,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
35,1.65833333333333,199,72.3333333333333,8680,1,1,82,13,middle,1,male,1,left,1,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,0.0333333333333333,4,1,0.025,3,1.5,180,NaN,NaN,NaN
36,2.025,243,74.3083333333333,8917,1,1,81,13,young,2,male,1,right,2,happy,2,y_m_h,young_male_happy,081_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,081_y_m_n_a.jpg,3,0.0333333333333333,4,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
37,1.925,231,76.5833333333333,9190,1,1,13,2,young,2,male,1,left,1,happy,2,y_m_h,young_male_happy,013_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,013_y_m_n_a.jpg,2,0.025,3,4,0.3,36,1.5,180,NaN,NaN,NaN
38,1.95,234,78.6333333333333,9436,1,1,92,15,middle,1,male,1,right,2,fear,1,m_m_f,middle_male_fear,092_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,092_m_m_n_a.jpg,5,0.05,6,4,0.3,36,1.5,180,NaN,NaN,NaN
39,1.75833333333333,211,80.6416666666667,9677,1,1,28,4,young,2,female,2,left,1,happy,2,y_f_h,young_female_happy,028_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,028_y_f_n_a.jpg,4,0.0416666666666667,5,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
40,1.825,219,83.1583333333333,9979,1,1,63,9,young,2,female,2,right,2,fear,1,y_f_f,young_female_fear,063_y_f_f_a.jpg,0.1,12,y_f_n,young_female_neutral,063_y_f_n_a.jpg,9,0.2,24,1,0.025,3,1.5,180,NaN,NaN,NaN
41,2.30833333333333,277,85.2583333333333,10231,2,1,98,14,young,2,female,2,right,2,fear,1,y_f_f,young_female_fear,098_y_f_f_a.jpg,0.1,12,y_f_n,young_female_neutral,098_y_f_n_a.jpg,4,0.0416666666666667,5,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
42,2.10833333333333,253,87.55,10506,2,1,14,2,middle,1,male,1,right,2,fear,1,m_m_f,middle_male_fear,014_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,2,0.025,3,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
43,2.15,258,89.85,10782,2,1,69,10,young,2,female,2,left,1,happy,2,y_f_h,young_female_happy,069_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,069_y_f_n_a.jpg,10,0.25,30,4,0.3,36,1.5,180,NaN,NaN,NaN
44,2.34166666666667,281,91.8833333333333,11026,2,1,40,6,young,2,female,2,right,2,happy,2,y_f_h,young_female_happy,040_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,040_y_f_n_a.jpg,6,0.075,9,8,0.666666666666667,80,1.5,180,NaN,NaN,NaN
45,1.7,204,93.8333333333333,11260,2,1,106,16,young,2,female,2,right,2,happy,2,y_f_h,young_female_happy,106_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,106_y_f_n_a.jpg,6,0.075,9,1,0.025,3,1.5,180,NaN,NaN,NaN
46,1.91666666666667,230,96.175,11541,2,1,63,9,young,2,female,2,left,1,happy,2,y_f_h,young_female_happy,063_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,063_y_f_n_a.jpg,9,0.2,24,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
47,2.18333333333333,262,98.175,11781,2,1,115,17,young,2,female,2,left,1,fear,1,y_f_f,young_female_fear,115_y_f_f_a.jpg,0.1,12,y_f_n,young_female_neutral,115_y_f_n_a.jpg,7,0.1,12,6,0.483333333333333,58,1.5,180,NaN,NaN,NaN
48,2.05833333333333,247,100.5,12060,2,1,123,20,young,2,male,1,right,2,fear,1,y_m_f,young_male_fear,123_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,123_y_m_n_a.jpg,10,0.25,30,3,0.208333333333333,25,1.5,180,NaN,NaN,NaN
49,1.825,219,102.691666666667,12323,2,1,116,19,middle,1,male,1,left,1,happy,2,m_m_h,middle_male_happy,116_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,116_m_m_n_a.jpg,9,0.2,24,1,0.025,3,1.5,180,NaN,NaN,NaN
50,2.19166666666667,263,105.025,12603,2,1,61,9,middle,1,female,2,left,1,happy,2,m_f_h,middle_female_happy,061_m_f_h_a.jpg,0.1,12,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,9,0.2,24,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
51,1.825,219,106.85,12822,2,1,7,1,middle,1,male,1,right,2,happy,2,m_m_h,middle_male_happy,007_m_m_h_a.jpg,0.1,12,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,1,0.0166666666666667,2,3,0.208333333333333,25,1.5,180,NaN,NaN,NaN
52,1.7,204,108.683333333333,13042,2,1,45,6,middle,1,male,1,right,2,fear,1,m_m_f,middle_male_fear,045_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,6,0.075,9,1,0.025,3,1.5,180,NaN,NaN,NaN
53,1.775,213,110.708333333333,13285,2,1,54,8,young,2,female,2,left,1,happy,2,y_f_h,young_female_happy,054_y_f_h_a.jpg,0.1,12,y_f_n,young_female_neutral,054_y_f_n_a.jpg,8,0.15,18,1,0.025,3,1.5,180,NaN,NaN,NaN
54,1.73333333333333,208,112.833333333333,13540,2,1,6,1,middle,1,female,2,left,1,happy,2,m_f_h,middle_female_happy,006_m_f_h_a.jpg,0.1,12,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,1,0.0166666666666667,2,2,0.116666666666667,14,1.5,180,NaN,NaN,NaN
55,1.7,204,114.508333333333,13741,2,1,103,16,middle,1,female,2,left,1,fear,1,m_f_f,middle_female_fear,103_m_f_f_a.jpg,0.1,12,m_f_n,middle_female_neutral,103_m_f_n_a.jpg,6,0.075,9,1,0.025,3,1.5,180,NaN,NaN,NaN
56,2.19166666666667,263,116.85,14022,2,1,73,11,middle,1,female,2,right,2,happy,2,m_f_h,middle_female_happy,073_m_f_h_a.jpg,0.1,12,m_f_n,middle_female_neutral,073_m_f_n_a.jpg,1,0.0166666666666667,2,7,0.575,69,1.5,180,NaN,NaN,NaN
57,2.00833333333333,241,119.216666666667,14306,2,1,66,11,young,2,male,1,right,2,fear,1,y_m_f,young_male_fear,066_y_m_f_a.jpg,0.1,12,y_m_n,young_male_neutral,066_y_m_n_a.jpg,1,0.0166666666666667,2,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
58,2.01666666666667,242,121.083333333333,14530,2,1,13,2,young,2,male,1,left,1,happy,2,y_m_h,young_male_happy,013_y_m_h_a.jpg,0.1,12,y_m_n,young_male_neutral,013_y_m_n_a.jpg,2,0.025,3,5,0.391666666666667,47,1.5,180,NaN,NaN,NaN
59,1.95,234,123.366666666667,14804,2,1,38,5,middle,1,male,1,right,2,fear,1,m_m_f,middle_male_fear,038_m_m_f_a.jpg,0.1,12,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,5,0.05,6,4,0.3,36,1.5,180,NaN,NaN,NaN
