trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,1.78270902400171,214,1.78270902400171,214,1,1,89,3,5,14,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,089_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,089_y_m_n_a.jpg,9,4,0.0416520800000399,5,2,0.12495624000012,15,1.50780529600144,181
2,1.69107444800162,203,3.47378347200332,417,1,1,99,3,6,15,young,2,male,1,right,2,1313.15324777998,540,happy,2,y_m_h,young_male_happy,099_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.0499824960000478,6,1,0.0249912480000239,3,1.50780529600144,181
3,2.46580313600236,296,5.93958660800568,713,1,1,51,1,1,7,middle,1,male,1,left,1,606.846752220015,540,fear,1,m_m_f,middle_male_fear,051_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,051_m_m_n_a.jpg,3,7,0.0999649920000956,12,8,0.749737440000717,90,1.50780529600144,181
4,2.07427358400198,249,8.01386019200767,962,1,1,66,3,6,11,young,2,male,1,right,2,1313.15324777998,540,happy,2,y_m_h,young_male_happy,066_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.0166608320000159,2,5,0.441512048000422,53,1.50780529600144,181
5,2.09926483200201,252,10.1131250240097,1214,1,1,122,2,4,20,middle,1,female,2,right,2,1313.15324777998,540,happy,2,m_f_h,middle_female_happy,122_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,122_m_f_n_a.jpg,6,10,0.249912480000239,30,3,0.233251648000223,28,1.50780529600144,181
6,1.7743786080017,213,11.8875036320114,1427,1,1,82,1,1,13,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333216640000319,4,2,0.12495624000012,15,1.50780529600144,181
7,2.13258649600204,256,14.0200901280134,1683,1,1,105,3,5,16,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,105_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,105_y_m_n_a.jpg,9,6,0.0749737440000717,9,5,0.441512048000422,53,1.50780529600144,181
8,2.20756024000211,265,16.2276503680155,1948,1,1,35,2,3,5,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,035_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,5,0.0499824960000478,6,6,0.541477040000518,65,1.50780529600144,181
9,2.090934416002,251,18.3185847840175,2199,1,1,82,1,2,13,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333216640000319,4,5,0.441512048000422,53,1.50780529600144,181
10,2.30752523200221,277,20.6261100160197,2476,1,1,52,2,3,8,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,6,8,0.149947488000143,18,6,0.541477040000518,65,1.50780529600144,181
11,2.44081188800234,293,23.0669219040221,2769,1,1,45,1,2,6,middle,1,male,1,right,2,1313.15324777998,540,happy,2,m_m_h,middle_male_happy,045_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.0749737440000717,9,8,0.749737440000717,90,1.50780529600144,181
12,1.78270902400171,214,24.8496309280238,2983,1,1,29,2,3,4,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,029_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,029_m_f_n_a.jpg,6,4,0.0416520800000399,5,2,0.12495624000012,15,1.50780529600144,181
13,2.30752523200221,277,27.157156160026,3260,1,1,68,1,1,10,middle,1,male,1,left,1,606.846752220015,540,fear,1,m_m_f,middle_male_fear,068_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,068_m_m_n_a.jpg,3,10,0.249912480000239,30,5,0.441512048000422,53,1.50780529600144,181
14,2.09926483200201,252,29.256420992028,3512,1,1,114,3,6,18,young,2,male,1,left,1,606.846752220015,540,happy,2,y_m_h,young_male_happy,114_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,114_y_m_n_a.jpg,9,8,0.149947488000143,18,4,0.333216640000319,40,1.50780529600144,181
15,2.30752523200221,277,31.5639462240302,3789,1,1,52,2,3,8,middle,1,female,2,right,2,1313.15324777998,540,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,6,8,0.149947488000143,18,6,0.541477040000518,65,1.50780529600144,181
16,1.94098692800186,233,33.5049331520321,4022,1,1,57,3,5,9,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,057_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,057_y_m_n_a.jpg,9,9,0.199929984000191,24,2,0.12495624000012,15,1.50780529600144,181
17,1.99096942400191,239,35.495902576034,4261,1,1,123,3,6,20,young,2,male,1,left,1,606.846752220015,540,happy,2,y_m_h,young_male_happy,123_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,123_y_m_n_a.jpg,9,10,0.249912480000239,30,2,0.12495624000012,15,1.50780529600144,181
18,2.51578563200241,302,38.0116882080364,4563,1,1,114,3,5,18,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,114_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,114_y_m_n_a.jpg,9,8,0.149947488000143,18,8,0.749737440000717,90,1.50780529600144,181
19,2.51578563200241,302,40.5274738400388,4865,1,1,49,3,5,8,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,049_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,049_y_m_n_a.jpg,9,8,0.149947488000143,18,8,0.749737440000717,90,1.50780529600144,181
20,1.8826740160018,226,42.4101478560406,5091,1,1,16,3,5,3,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,016_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,3,0.0333216640000319,4,3,0.233251648000223,28,1.50780529600144,181
21,2.1992298240021,264,44.6093776800427,5355,1,1,87,1,2,14,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,087_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,087_m_m_n_a.jpg,3,4,0.0416520800000399,5,6,0.541477040000518,65,1.50780529600144,181
22,2.04928233600196,246,46.6586600160446,5601,1,1,109,3,5,17,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,109_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,109_y_m_n_a.jpg,9,7,0.0999649920000956,12,4,0.333216640000319,40,1.50780529600144,181
23,2.15757774400206,259,48.8162377600467,5860,1,1,48,4,8,7,young,2,female,2,left,1,606.846752220015,540,happy,2,y_f_h,young_female_happy,048_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,048_y_f_n_a.jpg,12,7,0.0999649920000956,12,5,0.441512048000422,53,1.50780529600144,181
24,1.9826390080019,238,50.7988767680486,6098,1,1,90,4,8,13,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,090_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,090_y_f_n_a.jpg,12,3,0.0333216640000319,4,4,0.333216640000319,40,1.50780529600144,181
25,2.23255148800214,268,53.0314282560507,6366,1,1,43,2,3,6,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,043_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,043_m_f_n_a.jpg,6,6,0.0749737440000717,9,6,0.541477040000518,65,1.50780529600144,181
26,2.39082939200229,287,55.422257648053,6653,1,1,80,2,3,12,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,080_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,080_m_f_n_a.jpg,6,2,0.0249912480000239,3,8,0.749737440000717,90,1.50780529600144,181
27,2.38249897600228,286,57.8047566240553,6939,1,1,8,3,6,1,young,2,male,1,left,1,606.846752220015,540,happy,2,y_m_h,young_male_happy,008_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,1,0.0166608320000159,2,8,0.749737440000717,90,1.50780529600144,181
28,2.35750772800226,283,60.1622643520575,7222,1,1,119,3,6,19,young,2,male,1,right,2,1313.15324777998,540,happy,2,y_m_h,young_male_happy,119_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,119_y_m_n_a.jpg,9,9,0.199929984000191,24,6,0.541477040000518,65,1.50780529600144,181
29,1.68274403200161,202,61.8450083840592,7424,1,1,93,2,4,14,middle,1,female,2,right,2,1313.15324777998,540,happy,2,m_f_h,middle_female_happy,093_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,093_m_f_n_a.jpg,6,4,0.0416520800000399,5,1,0.0249912480000239,3,1.50780529600144,181
30,1.89100443200181,227,63.736012816061,7651,1,1,64,2,3,10,middle,1,female,2,right,2,1313.15324777998,540,fear,1,m_f_f,middle_female_fear,064_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,064_m_f_n_a.jpg,6,10,0.249912480000239,30,1,0.0249912480000239,3,1.50780529600144,181
31,2.1992298240021,264,65.9352426400631,7915,1,1,69,4,8,10,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,069_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,069_y_f_n_a.jpg,12,10,0.249912480000239,30,4,0.333216640000319,40,1.50780529600144,181
32,1.89100443200181,227,67.8262470720649,8142,1,1,56,1,1,8,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,056_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,056_m_m_n_a.jpg,3,8,0.149947488000143,18,2,0.12495624000012,15,1.50780529600144,181
33,2.09926483200201,252,69.9255119040669,8394,1,1,32,1,2,4,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,032_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,4,0.0416520800000399,5,5,0.441512048000422,53,1.50780529600144,181
34,2.10759524800202,253,72.0331071520689,8647,1,1,38,1,2,5,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,038_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,5,0.0499824960000478,6,5,0.441512048000422,53,1.50780529600144,181
35,1.6744136160016,201,73.7075207680705,8848,1,1,82,1,2,13,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333216640000319,4,1,0.0249912480000239,3,1.50780529600144,181
36,2.090934416002,251,75.7984551840725,9099,1,1,81,3,6,13,young,2,male,1,right,2,1313.15324777998,540,happy,2,y_m_h,young_male_happy,081_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,081_y_m_n_a.jpg,9,3,0.0333216640000319,4,5,0.441512048000422,53,1.50780529600144,181
37,1.97430859200189,237,77.7727637760744,9336,1,1,13,3,6,2,young,2,male,1,left,1,606.846752220015,540,happy,2,y_m_h,young_male_happy,013_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,2,0.0249912480000239,3,4,0.333216640000319,40,1.50780529600144,181
38,1.99929984000191,240,79.7720636160763,9576,1,1,92,1,1,15,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,092_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,092_m_m_n_a.jpg,3,5,0.0499824960000478,6,4,0.333216640000319,40,1.50780529600144,181
39,1.78270902400171,214,81.554772640078,9790,1,1,28,4,8,4,young,2,female,2,left,1,606.846752220015,540,happy,2,y_f_h,young_female_happy,028_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,4,0.0416520800000399,5,2,0.12495624000012,15,1.50780529600144,181
40,1.84102193600176,221,83.3957945760798,10011,1,1,63,4,7,9,young,2,female,2,right,2,1313.15324777998,540,fear,1,y_f_f,young_female_fear,063_y_f_f_a.jpg,10,0.108295408000104,13,y_f_n,young_female_neutral,063_y_f_n_a.jpg,12,9,0.199929984000191,24,1,0.0249912480000239,3,1.50780529600144,181
41,2.4074902240023,289,85.8032848000821,10300,2,1,98,4,7,14,young,2,female,2,right,2,1313.15324777998,540,fear,1,y_f_f,young_female_fear,098_y_f_f_a.jpg,10,0.108295408000104,13,y_f_n,young_female_neutral,098_y_f_n_a.jpg,12,4,0.0416520800000399,5,8,0.749737440000717,90,1.50780529600144,181
42,2.18256899200209,262,87.9858537920842,10562,2,1,14,1,1,2,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,014_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,2,0.0249912480000239,3,6,0.541477040000518,65,1.50780529600144,181
43,2.1992298240021,264,90.1850836160863,10826,2,1,69,4,8,10,young,2,female,2,left,1,606.846752220015,540,happy,2,y_f_h,young_female_happy,069_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,069_y_f_n_a.jpg,12,10,0.249912480000239,30,4,0.333216640000319,40,1.50780529600144,181
44,2.44081188800234,293,92.6258955040886,11119,2,1,40,4,8,6,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,040_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,040_y_f_n_a.jpg,12,6,0.0749737440000717,9,8,0.749737440000717,90,1.50780529600144,181
45,1.71606569600164,206,94.3419612000902,11325,2,1,106,4,8,16,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,106_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,106_y_f_n_a.jpg,12,6,0.0749737440000717,9,1,0.0249912480000239,3,1.50780529600144,181
46,1.94098692800186,233,96.2829481280921,11558,2,1,63,4,8,9,young,2,female,2,left,1,606.846752220015,540,happy,2,y_f_h,young_female_happy,063_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,063_y_f_n_a.jpg,12,9,0.199929984000191,24,2,0.12495624000012,15,1.50780529600144,181
47,2.25754273600216,271,98.5404908640943,11829,2,1,115,4,7,17,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,115_y_f_f_a.jpg,10,0.108295408000104,13,y_f_n,young_female_neutral,115_y_f_n_a.jpg,12,7,0.0999649920000956,12,6,0.541477040000518,65,1.50780529600144,181
48,2.09926483200201,252,100.639755696096,12081,2,1,123,3,5,20,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,123_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,123_y_m_n_a.jpg,9,10,0.249912480000239,30,3,0.233251648000223,28,1.50780529600144,181
49,1.84102193600176,221,102.480777632098,12302,2,1,116,1,2,19,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,116_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,116_m_m_n_a.jpg,3,9,0.199929984000191,24,1,0.0249912480000239,3,1.50780529600144,181
50,2.25754273600216,271,104.7383203681,12573,2,1,61,2,4,9,middle,1,female,2,left,1,606.846752220015,540,happy,2,m_f_h,middle_female_happy,061_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,6,9,0.199929984000191,24,5,0.441512048000422,53,1.50780529600144,181
51,1.86601318400179,224,106.604333552102,12797,2,1,7,1,2,1,middle,1,male,1,right,2,1313.15324777998,540,happy,2,m_m_h,middle_male_happy,007_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,1,0.0166608320000159,2,3,0.233251648000223,28,1.50780529600144,181
52,1.71606569600164,206,108.320399248104,13003,2,1,45,1,1,6,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,045_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.0749737440000717,9,1,0.0249912480000239,3,1.50780529600144,181
53,1.79103944000171,215,110.111438688105,13218,2,1,54,4,8,8,young,2,female,2,left,1,606.846752220015,540,happy,2,y_f_h,young_female_happy,054_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,054_y_f_n_a.jpg,12,8,0.149947488000143,18,1,0.0249912480000239,3,1.50780529600144,181
54,1.75771777600168,211,111.869156464107,13429,2,1,6,2,4,1,middle,1,female,2,left,1,606.846752220015,540,happy,2,m_f_h,middle_female_happy,006_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,1,0.0166608320000159,2,2,0.12495624000012,15,1.50780529600144,181
55,1.71606569600164,206,113.585222160109,13635,2,1,103,2,3,16,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,103_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,103_m_f_n_a.jpg,6,6,0.0749737440000717,9,1,0.0249912480000239,3,1.50780529600144,181
56,2.28253398400218,274,115.867756144111,13909,2,1,73,2,4,11,middle,1,female,2,right,2,1313.15324777998,540,happy,2,m_f_h,middle_female_happy,073_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,073_m_f_n_a.jpg,6,1,0.0166608320000159,2,7,0.649772448000622,78,1.50780529600144,181
57,2.07427358400198,249,117.942029728113,14158,2,1,66,3,5,11,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,066_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.0166608320000159,2,5,0.441512048000422,53,1.50780529600144,181
58,2.08260400000199,250,120.024633728115,14408,2,1,13,3,6,2,young,2,male,1,left,1,606.846752220015,540,happy,2,y_m_h,young_male_happy,013_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,2,0.0249912480000239,3,5,0.441512048000422,53,1.50780529600144,181
59,1.99929984000191,240,122.023933568117,14648,2,1,38,1,1,5,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,038_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,5,0.0499824960000478,6,4,0.333216640000319,40,1.50780529600144,181
60,2.02429108800194,243,124.048224656119,14891,2,1,40,4,8,6,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,040_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,040_y_f_n_a.jpg,12,6,0.0749737440000717,9,4,0.333216640000319,40,1.50780529600144,181
61,2.35750772800226,283,126.405732384121,15174,2,1,119,3,5,19,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,119_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,119_y_m_n_a.jpg,9,9,0.199929984000191,24,6,0.541477040000518,65,1.50780529600144,181
62,1.79103944000171,215,128.196771824123,15389,2,1,54,4,8,8,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,054_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,054_y_f_n_a.jpg,12,8,0.149947488000143,18,1,0.0249912480000239,3,1.50780529600144,181
63,2.13258649600204,256,130.329358320125,15645,2,1,103,2,4,16,middle,1,female,2,right,2,1313.15324777998,540,happy,2,m_f_h,middle_female_happy,103_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,103_m_f_n_a.jpg,6,6,0.0749737440000717,9,5,0.441512048000422,53,1.50780529600144,181
64,1.89100443200181,227,132.220362752126,15872,2,1,25,3,5,4,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,025_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,4,0.0416520800000399,5,3,0.233251648000223,28,1.50780529600144,181
65,1.84102193600176,221,134.061384688128,16093,2,1,104,1,1,17,middle,1,male,1,left,1,606.846752220015,540,fear,1,m_m_f,middle_male_fear,104_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,104_m_m_n_a.jpg,3,7,0.0999649920000956,12,2,0.12495624000012,15,1.50780529600144,181
66,1.99929984000191,240,136.06068452813,16333,2,1,108,1,2,18,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,108_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,108_m_m_n_a.jpg,3,8,0.149947488000143,18,3,0.233251648000223,28,1.50780529600144,181
67,1.84102193600176,221,137.901706464132,16554,2,1,41,3,6,7,young,2,male,1,right,2,1313.15324777998,540,happy,2,y_m_h,young_male_happy,041_y_m_h_a.jpg,8,0.108295408000104,13,y_m_n,young_male_neutral,041_y_m_n_a.jpg,9,7,0.0999649920000956,12,2,0.12495624000012,15,1.50780529600144,181
68,2.14924732800206,258,140.050953792134,16812,2,1,61,2,4,9,middle,1,female,2,left,1,606.846752220015,540,happy,2,m_f_h,middle_female_happy,061_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,6,9,0.199929984000191,24,4,0.333216640000319,40,1.50780529600144,181
69,2.46580313600236,296,142.516756928136,17108,2,1,132,4,8,19,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,132_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,132_y_f_n_a.jpg,12,9,0.199929984000191,24,7,0.649772448000622,78,1.50780529600144,181
70,1.87434360000179,225,144.391100528138,17333,2,1,77,1,2,12,middle,1,male,1,right,2,1313.15324777998,540,happy,2,m_m_h,middle_male_happy,077_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,077_m_m_n_a.jpg,3,2,0.0249912480000239,3,3,0.233251648000223,28,1.50780529600144,181
71,1.89100443200181,227,146.28210496014,17560,2,1,125,4,8,18,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,125_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,125_y_f_n_a.jpg,12,8,0.149947488000143,18,2,0.12495624000012,15,1.50780529600144,181
72,2.09926483200201,252,148.381369792142,17812,2,1,62,3,5,10,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,062_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,062_y_m_n_a.jpg,9,10,0.249912480000239,30,3,0.233251648000223,28,1.50780529600144,181
73,2.41582064000231,290,150.797190432144,18102,2,1,34,4,7,5,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,034_y_f_f_a.jpg,10,0.108295408000104,13,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,5,0.0499824960000478,6,8,0.749737440000717,90,1.50780529600144,181
74,2.4074902240023,289,153.204680656147,18391,2,1,134,4,8,20,young,2,female,2,left,1,606.846752220015,540,happy,2,y_f_h,young_female_happy,134_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,134_y_f_n_a.jpg,12,10,0.249912480000239,30,6,0.541477040000518,65,1.50780529600144,181
75,2.04928233600196,246,155.253962992149,18637,2,1,61,2,3,9,middle,1,female,2,left,1,606.846752220015,540,fear,1,m_f_f,middle_female_fear,061_m_f_f_a.jpg,4,0.108295408000104,13,m_f_n,middle_female_neutral,061_m_f_n_a.jpg,6,9,0.199929984000191,24,3,0.233251648000223,28,1.50780529600144,181
76,2.1908994080021,263,157.444862400151,18900,2,1,84,2,4,13,middle,1,female,2,right,2,1313.15324777998,540,happy,2,m_f_h,middle_female_happy,084_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,084_m_f_n_a.jpg,6,3,0.0333216640000319,4,6,0.541477040000518,65,1.50780529600144,181
77,2.6157506240025,314,160.060613024153,19214,2,1,62,3,5,10,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,062_y_m_f_a.jpg,7,0.108295408000104,13,y_m_n,young_male_neutral,062_y_m_n_a.jpg,9,10,0.249912480000239,30,8,0.749737440000717,90,1.50780529600144,181
78,2.09926483200201,252,162.159877856155,19466,2,1,54,4,7,8,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,054_y_f_f_a.jpg,10,0.108295408000104,13,y_f_n,young_female_neutral,054_y_f_n_a.jpg,12,8,0.149947488000143,18,4,0.333216640000319,40,1.50780529600144,181
79,1.66608320000159,200,163.825961056157,19666,2,1,20,4,8,2,young,2,female,2,right,2,1313.15324777998,540,happy,2,y_f_h,young_female_happy,020_y_f_h_a.jpg,11,0.108295408000104,13,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,2,0.0249912480000239,3,1,0.0249912480000239,3,1.50780529600144,181
80,2.09926483200201,252,165.925225888159,19918,2,1,108,1,1,18,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,108_m_m_f_a.jpg,1,0.108295408000104,13,m_m_n,middle_male_neutral,108_m_m_n_a.jpg,3,8,0.149947488000143,18,4,0.333216640000319,40,1.50780529600144,181
81,2.09926483200201,252,168.024490720161,20170,3,2,126,1,2,20,middle,1,male,1,left,1,606.846752220015,540,happy,2,m_m_h,middle_male_happy,126_m_m_h_a.jpg,2,0.108295408000104,13,m_m_n,middle_male_neutral,126_m_m_n_a.jpg,3,10,0.249912480000239,30,3,0.233251648000223,28,1.50780529600144,181
82,1.84102193600176,221,169.865512656163,20391,3,2,117,2,4,19,middle,1,female,2,left,1,606.846752220015,540,happy,2,m_f_h,middle_female_happy,117_m_f_h_a.jpg,5,0.108295408000104,13,m_f_n,middle_female_neutral,117_m_f_n_a.jpg,6,9,0.199929984000191,24,1,0.0249912480000239,3,1.50780529600144,181
